address,function,length,setpoint,gain,'reset rate',deadband,'cycle time',rate,'system mode','control scheme',pump,solenoid,'pressure measurement','crc rate','command response',time,'specific result'
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418896961,11
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418881278,3
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418907161,12
4,16,90,7.61,116,0.123976,0.51,0.96,0,1,1,0,1,7.27E+35,12850,1,1418817138,5
4,16,90,12.7,115,0.3453,0.75,0.87,0.65276,1,1,0,1,7.27E+35,14641,1,1418936556,7
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418923991,6
4,16,90,0.98,110,0.3426,0.32,1.15,0.287995,2,1,0,0,7.27E+35,14385,1,1418792552,8
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418819250,12
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418806343,11
4,16,90,2.02,114,0.2016,0.74,1.26,0.845963,2,1,0,0,7.27E+35,13619,1,1418906172,7
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418784752,1
4,16,90,15.5,114,0.2935,0.69,1.86269,0,0,0,1,1,7.27E+35,17464,1,1418814714,11
4,16,90,16.6,117,0.3506,0.28,0,0,0,1,0,0,7.27E+35,13618,1,1418888837,12
4,16,90,7.35,66,0.3202,0.67,0.52,0,0,1,0,0,7.27E+35,12866,1,1418797007,4
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418921043,3
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418871175,9
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418777705,7
4,16,90,49,119,0.3244,0.61,1.25,0,0,0,1,0,7.27E+35,16710,1,1418778723,2
4,16,90,9,119,0.3522,0.26,1.36,0,0,0,1,0,7.27E+35,12592,1,1418783233,2
4,16,90,4.58,114,0.05748,0.51,0.87,0,0,0,1,1,7.27E+35,13872,1,1418938308,6
4,16,90,3.89,116,0.058447,0.79,0.87,0,2,1,1,1,7.27E+35,17721,1,1418931053,5
4,16,90,5.11,110,0.3426,0.32,1.15,0.113276,2,1,0,0,7.27E+35,17465,1,1418792577,8
4,16,90,40,110,0.2501,0.55,1.26,0,0,1,0,1,7.27E+35,13617,1,1418856641,1
4,16,90,10.9,110,0.267,0.35,2.67349,0,0,0,1,1,7.27E+35,12344,1,1418838952,11
4,16,90,11.5,117,0.134731,0.25,0.87,0,0,1,0,1,7.27E+35,13364,1,1418953694,6
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418804274,4
4,16,16,10.535523,112.986771,0.305917,0.48863,1.050153,0.012535,0.491108,0.657535,0.318222,0.461201,7.27E+35,17718,0,1418801231,11
4,16,90,15.6,66,0.312,0.73,1.26,0,2,1,0,0,7.27E+35,12868,1,1418848456,3
