inst#,actual,predicted,error,prediction
1,2:1,1:0,+,0.5
2,1:0,1:0,?,1
3,1:0,1:0,?,1
4,2:1,2:1,?,0.61
5,1:0,1:0,?,1
6,1:0,1:0,?,1
7,2:1,2:1,?,1
8,1:0,1:0,?,1
9,1:0,1:0,?,1
10,2:1,2:1,?,1
11,1:0,1:0,?,1
12,1:0,1:0,?,1
13,1:0,1:0,?,1
14,1:0,1:0,?,1
15,2:1,2:1,?,0.76
16,2:1,2:1,?,0.97
17,1:0,1:0,?,1
18,1:0,1:0,?,1
19,1:0,1:0,?,0.99
20,1:0,1:0,?,1
21,1:0,1:0,?,1
22,1:0,1:0,?,1
23,1:0,1:0,?,1
24,1:0,1:0,?,1
25,1:0,1:0,?,1
26,1:0,1:0,?,1
27,1:0,1:0,?,0.67
28,1:0,1:0,?,0.97
29,1:0,1:0,?,1
30,1:0,1:0,?,1
31,2:1,2:1,?,0.9
32,1:0,1:0,?,1
33,2:1,2:1,?,1
34,1:0,1:0,?,0.94
35,1:0,1:0,?,1
36,1:0,1:0,?,1
37,1:0,1:0,?,1
38,1:0,1:0,?,1
39,1:0,1:0,?,1
40,2:1,2:1,?,1
41,1:0,1:0,?,1
42,1:0,1:0,?,1
43,1:0,1:0,?,1
44,1:0,1:0,?,1
45,2:1,2:1,?,0.75
46,1:0,1:0,?,1
47,1:0,1:0,?,0.59
48,1:0,1:0,?,1
49,2:1,2:1,?,0.86
50,1:0,1:0,?,1
51,1:0,1:0,?,1
52,1:0,1:0,?,1
53,1:0,1:0,?,1
54,1:0,1:0,?,1
55,1:0,1:0,?,1
56,1:0,1:0,?,1
57,2:1,2:1,?,1
58,1:0,1:0,?,1
59,2:1,2:1,?,1
60,2:1,2:1,?,1
61,1:0,1:0,?,1
62,1:0,1:0,?,1
63,1:0,1:0,?,0.95
64,2:1,1:0,+,0.71
65,1:0,1:0,?,1
66,1:0,1:0,?,1
67,2:1,2:1,?,0.98
68,2:1,2:1,?,0.98
69,1:0,1:0,?,1
70,1:0,1:0,?,1
71,1:0,1:0,?,1
72,1:0,1:0,?,1
73,1:0,1:0,?,1
74,1:0,1:0,?,1
75,1:0,1:0,?,1
76,2:1,2:1,?,1
77,2:1,2:1,?,0.56
78,1:0,1:0,?,1
79,1:0,1:0,?,1
80,1:0,1:0,?,1
81,1:0,1:0,?,0.87
82,1:0,1:0,?,1
83,1:0,1:0,?,1
84,2:1,2:1,?,1
85,2:1,2:1,?,0.97
86,1:0,1:0,?,1
87,2:1,2:1,?,1
88,2:1,2:1,?,0.9
89,1:0,1:0,?,1
90,1:0,1:0,?,0.99
91,2:1,2:1,?,0.51
92,1:0,1:0,?,1
93,1:0,1:0,?,1
94,1:0,1:0,?,1
95,1:0,1:0,?,1
96,1:0,1:0,?,1
97,2:1,2:1,?,1
98,1:0,1:0,?,1
99,2:1,2:1,?,0.96
100,1:0,1:0,?,1
101,2:1,2:1,?,1
102,1:0,1:0,?,1
103,1:0,1:0,?,1
104,1:0,1:0,?,1
105,1:0,1:0,?,0.96
106,1:0,1:0,?,1
107,2:1,1:0,+,0.52
108,1:0,1:0,?,1
109,2:1,2:1,?,1
110,1:0,1:0,?,1
111,2:1,2:1,?,0.97
112,2:1,1:0,+,0.55
113,2:1,2:1,?,1
114,2:1,2:1,?,1
115,1:0,1:0,?,1
116,1:0,1:0,?,1
117,2:1,2:1,?,1
118,1:0,1:0,?,1
119,1:0,1:0,?,1
120,1:0,1:0,?,1
121,2:1,2:1,?,1
122,1:0,1:0,?,1
123,2:1,2:1,?,1
124,1:0,1:0,?,1
125,1:0,1:0,?,1
126,1:0,1:0,?,1
127,1:0,1:0,?,1
128,1:0,1:0,?,0.94
